1 15
1 29
1 31
1 9
2 16
2 17
2 23
2 25
2 27
2 28
2 3
2 30
2 32
2 6
2 7
2 9
3 15
3 17
3 18
3 19
3 21
3 27
3 29
3 32
3 5
4 27
4 29
4 30
4 8
4 9
5 12
5 14
5 16
5 17
5 18
5 2
5 20
5 21
5 23
5 24
5 25
5 27
5 29
5 30
5 31
5 32
5 6
5 7
5 8
5 9
6 12
6 13
6 22
6 26
6 28
6 32
6 5
7 1
7 10
7 11
7 13
7 15
7 17
7 2
7 23
7 25
7 27
7 28
7 29
7 30
7 31
7 5
7 6
7 9
8 14
8 16
8 17
8 18
8 20
8 21
8 23
8 26
8 28
8 30
8 32
8 4
8 7
8 9
9 10
9 11
9 12
9 13
9 14
9 18
9 2
9 22
9 25
9 5
9 8
10 12
10 14
10 16
10 22
10 23
10 28
10 3
11 1
11 10
11 12
11 13
11 15
11 17
11 18
11 19
11 2
11 20
11 22
11 24
11 25
11 27
11 28
11 3
11 32
11 4
11 6
11 8
11 9
12 1
12 10
12 14
12 15
12 16
12 17
12 18
12 19
12 2
12 21
12 23
12 24
12 26
12 27
12 3
12 30
12 4
12 7
12 8
12 9
13 11
13 12
13 15
13 17
13 18
13 19
13 20
13 22
13 23
13 24
13 25
13 4
13 6
13 8
14 20
14 3
14 30
14 4
15 10
15 11
15 12
15 13
15 14
15 17
15 22
15 23
15 24
15 25
15 30
15 6
15 9
16 1
16 11
16 13
16 15
16 19
16 25
16 26
16 3
16 31
16 32
16 5
16 7
16 8
17 12
17 14
17 18
17 19
17 2
17 23
17 29
17 30
17 5
17 7
17 8
17 9
18 1
18 11
18 13
18 16
18 2
18 21
18 26
18 30
18 31
18 4
18 5
18 6
18 7
19 1
19 13
19 26
19 31
20 1
20 10
20 11
20 12
20 15
20 21
20 23
20 24
20 25
20 26
20 27
20 28
20 31
20 5
20 9
21 1
21 10
21 14
21 15
21 19
21 23
21 24
21 26
21 28
21 29
21 5
22 14
22 15
22 17
22 19
22 2
22 20
22 23
22 24
22 25
22 27
22 3
22 7
22 8
22 9
23 10
23 11
23 12
23 14
23 18
23 2
23 22
23 24
23 25
23 26
23 3
23 30
23 32
23 6
23 8
23 9
24 1
24 12
24 13
24 14
24 15
24 16
24 17
24 19
24 2
24 21
24 22
24 23
24 25
24 27
24 28
24 29
24 30
24 31
24 5
24 6
24 7
24 9
25 10
25 13
25 14
25 7
25 8
25 9
26 10
26 13
26 14
26 15
26 20
26 28
26 3
26 30
26 4
27 12
27 21
27 23
27 29
27 31
27 5
27 7
27 8
28 1
28 11
28 12
28 14
28 15
28 16
28 19
28 2
28 20
28 22
28 23
28 25
28 27
28 3
28 30
28 4
28 5
28 6
28 8
29 10
29 12
29 13
29 17
29 19
29 23
29 30
29 7
30 13
30 14
30 16
30 17
30 2
30 22
30 26
30 28
30 3
30 8
31 12
31 24
31 32
31 4
31 9
32 11
32 12
32 15
32 19
32 23
32 25
32 29
32 3
32 4
32 6
32 9
